t (s),V (mV)
0,22.8156
1.037,22.7524
2.037,22.6861
3.037,22.617
4.037,22.5514
5.037,22.4849
6.037,22.4176
7.037,22.3522
8.037,22.2862
9.037,22.2198
10.037,22.1546
11.037,22.0889
12.037,22.023
13.037,21.9579
14.037,21.8923
15.037,21.8277
16.037,21.7622
17.037,21.6973
18.037,21.6338
19.037,21.5691
20.037,21.507
21.037,21.4427
22.037,21.3802
23.037,21.3167
24.037,21.2544
25.037,21.1915
26.037,21.129
27.037,21.0656
28.037,21.0032
29.037,20.9423
30.037,20.8797
31.037,20.8183
32.037,20.757
33.037,20.6955
34.037,20.634
35.037,20.5728
36.038,20.513
37.037,20.4517
38.037,20.3911
39.037,20.33
40.037,20.2697
41.037,20.2097
42.037,20.1475
43.037,20.0889
44.037,20.0276
45.037,19.9684
46.037,19.9065
47.036,19.8466
48.037,19.7865
49.037,19.7282
50.037,19.6695
51.037,19.6127
52.037,19.5545
53.037,19.4971
54.037,19.4386
55.037,19.3824
56.037,19.3253
57.037,19.2692
58.037,19.2143
59.037,19.1579
60.037,19.1029
61.037,19.0475
62.037,18.9919
63.037,18.937
64.037,18.8815
65.037,18.8264
66.037,18.7705
67.037,18.7149
68.037,18.6598
69.037,18.6041
70.037,18.5484
71.037,18.4937
72.036,18.4384
73.037,18.3829
74.037,18.3271
75.037,18.2748
76.037,18.219
77.037,18.1641
78.037,18.109
79.037,18.0542
80.037,17.9989
81.037,17.9445
82.037,17.8919
83.037,17.8395
84.037,17.7871
85.037,17.734
86.037,17.6812
87.037,17.6287
88.036,17.576
89.037,17.5249
90.037,17.473
91.037,17.422
92.037,17.3726
93.037,17.3223
94.037,17.2733
95.037,17.2226
96.037,17.1723
97.037,17.1213
98.037,17.0721
99.037,17.0222
100.037,16.9716
101.037,16.9218
102.037,16.872
103.037,16.822
104.037,16.772
105.037,16.7232
106.037,16.6725
107.037,16.6221
108.037,16.5735
109.037,16.5251
110.037,16.474
111.038,16.4249
112.037,16.3763
113.037,16.3267
114.037,16.279
115.037,16.231
116.037,16.1833
117.037,16.1351
118.037,16.0873
119.037,16.0396
120.037,15.9928
121.037,15.9456
122.037,15.8976
123.037,15.8511
124.037,15.8045
125.037,15.7574
126.037,15.7129
127.037,15.6673
128.037,15.621
129.037,15.5761
130.037,15.5316
131.037,15.4875
132.037,15.4408
133.037,15.3958
134.037,15.3511
135.037,15.305
136.037,15.2612
137.037,15.2162
138.037,15.1715
139.038,15.126
140.037,15.0808
141.037,15.0356
142.037,14.9917
143.037,14.9473
144.037,14.9032
145.037,14.8595
146.037,14.8149
147.037,14.7707
148.037,14.7266
149.037,14.6831
150.037,14.6392
151.037,14.5949
152.037,14.5519
153.037,14.5075
154.037,14.4627
155.037,14.42
156.037,14.3754
157.037,14.3311
158.037,14.2889
159.037,14.2458
160.037,14.2039
161.037,14.162
162.037,14.1195
163.037,14.0779
164.037,14.0369
165.037,13.9951
166.037,13.9544
167.037,13.9133
168.037,13.8715
169.037,13.8333
170.037,13.7936
171.037,13.7515
172.037,13.7127
173.037,13.6727
174.037,13.6336
175.037,13.5928
176.037,13.5539
177.037,13.5138
178.037,13.4741
179.037,13.4331
180.038,13.3951
181.037,13.3547
