t (s),V (mV)
123.045,20.779
124.045,20.7576
125.045,20.7338
126.045,20.7116
127.045,20.6904
128.044,20.6678
129.045,20.6447
130.045,20.6205
131.045,20.598
132.045,20.5761
133.045,20.5529
134.045,20.5298
135.044,20.51
136.045,20.4866
137.045,20.4628
138.045,20.4423
139.045,20.4206
140.045,20.3975
141.045,20.3762
142.045,20.3553
143.045,20.3327
144.045,20.3109
145.045,20.2887
146.045,20.2679
147.045,20.2456
148.045,20.2238
149.045,20.2024
150.045,20.181
151.045,20.1595
152.045,20.138
153.045,20.116
154.045,20.0946
155.045,20.0735
156.045,20.053
157.045,20.0316
158.045,20.0107
159.045,19.9892
160.045,19.9676
161.045,19.9462
162.045,19.9249
163.045,19.9034
164.045,19.8824
165.045,19.8608
166.045,19.8396
167.045,19.8179
168.045,19.7983
169.045,19.777
170.045,19.7558
171.045,19.7353
172.045,19.7135
173.045,19.6931
174.045,19.6722
175.045,19.6512
176.045,19.6307
177.045,19.6098
178.045,19.5886
179.045,19.5686
180.045,19.5463
181.045,19.5261
182.045,19.5063
183.045,19.4848
184.045,19.4638
185.045,19.4435
186.045,19.422
187.045,19.4025
188.045,19.3811
189.046,19.3623
190.045,19.3422
191.045,19.3211
192.045,19.3004
193.045,19.2808
194.044,19.2601
195.045,19.2403
196.045,19.2196
197.045,19.2005
198.045,19.181
199.044,19.1605
200.044,19.1411
201.045,19.1231
202.045,19.102
203.045,19.0812
204.045,19.0621
205.045,19.0425
206.045,19.0219
207.044,19.0024
208.045,18.9833
209.045,18.9656
210.045,18.944
211.045,18.9253
212.045,18.9031
213.045,18.8844
214.045,18.8651
215.045,18.8438
216.045,18.8236
217.045,18.8051
218.045,18.7845
219.045,18.7642
220.045,18.7442
221.045,18.7241
222.045,18.7048
223.045,18.6847
224.045,18.6652
225.045,18.646
226.045,18.6262
227.045,18.6064
228.045,18.5865
229.045,18.5681
230.045,18.549
231.045,18.5303
232.045,18.5107
233.045,18.4919
234.045,18.4749
235.045,18.4555
236.045,18.4373
237.045,18.4201
238.045,18.4017
239.045,18.3818
240.045,18.362
241.045,18.3431
242.045,18.3243
243.045,18.3065
244.045,18.2874
245.045,18.267
246.045,18.2497
247.045,18.2311
248.045,18.2105
249.045,18.192
250.045,18.1727
251.045,18.1547
252.045,18.1363
253.045,18.1186
254.045,18.0996
255.045,18.0807
256.045,18.0627
257.045,18.0431
258.045,18.0248
259.045,18.0049
260.045,17.9867
261.046,17.9686
262.045,17.949
263.045,17.9301
264.045,17.9113
265.045,17.8926
266.045,17.8742
267.045,17.8539
268.045,17.8352
269.045,17.8164
270.045,17.7982
271.045,17.779
272.045,17.7583
273.045,17.7418
274.045,17.7197
275.045,17.702
276.045,17.6852
277.046,17.6645
278.045,17.6456
279.045,17.6273
280.045,17.6078
281.046,17.5885
282.045,17.5705
283.045,17.5531
284.045,17.5336
285.045,17.5153
286.045,17.4983
287.045,17.4789
288.045,17.4613
289.045,17.4427
290.045,17.4248
291.045,17.4079
292.045,17.3895
293.045,17.3718
294.045,17.3544
295.045,17.3366
296.045,17.3183
297.045,17.2992
298.045,17.2817
299.045,17.2632
300.045,17.2457
301.045,17.2285
302.044,17.2109
303.045,17.192
304.045,17.173
305.045,17.1558
306.045,17.138
307.045,17.1194
308.045,17.1028
309.045,17.0837
310.045,17.0665
311.045,17.0495
312.047,17.0308
313.045,17.0144
314.045,16.9977
315.045,16.9795
316.045,16.9619
317.045,16.9449
318.045,16.9268
319.045,16.9097
320.045,16.8933
321.045,16.8753
322.045,16.8575
323.045,16.8395
324.045,16.824
325.045,16.8075
326.045,16.7898
327.045,16.7725
328.045,16.7538
329.045,16.7378
330.045,16.722
331.045,16.7059
332.045,16.6877
333.045,16.6708
334.045,16.6525
335.045,16.6372
336.045,16.6192
337.045,16.6033
338.045,16.5859
339.045,16.5711
340.044,16.5544
341.045,16.5354
342.045,16.5183
343.045,16.5054
344.045,16.4884
345.045,16.4704
346.045,16.4547
347.045,16.4377
348.045,16.421
349.046,16.4061
350.045,16.3922
351.045,16.3762
