t (s),V (mV)
0,23.9941
1.045,23.9578
2.045,23.9297
3.045,23.8996
4.045,23.8683
5.045,23.8378
6.045,23.8064
7.045,23.7761
8.045,23.7452
9.045,23.7149
10.045,23.6837
11.045,23.6532
12.044,23.6229
13.045,23.5934
14.045,23.5623
15.045,23.5323
16.045,23.5023
17.045,23.4732
18.045,23.4429
19.045,23.4142
20.044,23.3842
21.045,23.3547
22.045,23.3255
23.045,23.2977
24.045,23.2689
25.045,23.2407
26.045,23.2122
27.045,23.2162
28.045,23.1687
29.046,23.1314
30.045,23.1003
31.045,23.0728
32.044,23.0446
33.045,23.017
34.045,22.9879
35.045,22.9603
36.045,22.9325
37.045,22.9036
38.045,22.8765
39.045,22.8494
40.044,22.8223
41.045,22.7944
42.045,22.7677
43.045,22.7411
44.045,22.7133
45.045,22.6877
46.044,22.6613
47.045,22.6338
48.045,22.6082
49.045,22.5803
50.044,22.5544
51.045,22.5267
52.045,22.5002
53.045,22.4737
54.045,22.4484
55.045,22.4221
56.045,22.3975
57.045,22.3707
58.045,22.3439
59.045,22.3189
60.045,22.2938
61.046,22.2667
62.045,22.2419
63.045,22.2169
64.045,22.192
65.045,22.1653
66.045,22.1413
67.045,22.1164
68.045,22.0897
69.045,22.0676
70.045,22.0421
71.045,22.0174
72.044,21.9934
73.045,21.9694
74.045,21.9443
75.045,21.9181
76.045,21.8946
77.045,21.8706
78.045,21.8454
79.044,21.8213
80.045,21.796
81.045,21.7719
82.045,21.7469
83.045,21.7221
84.045,21.6985
85.045,21.6725
86.045,21.6483
87.045,21.6222
88.045,21.598
89.045,21.572
90.045,21.5477
91.045,21.5218
92.045,21.4985
93.045,21.4732
94.045,21.448
95.045,21.4241
96.045,21.3999
97.044,21.3763
98.045,21.3521
99.045,21.3281
100.044,21.3054
101.044,21.2836
102.045,21.2597
103.045,21.2351
104.045,21.2122
105.045,21.1888
106.045,21.1666
107.045,21.1426
108.045,21.1201
109.045,21.0955
110.045,21.0739
111.045,21.0508
112.045,21.0283
113.045,21.0056
114.045,20.9824
115.045,20.9591
116.045,20.9375
117.045,20.9147
118.045,20.8924
119.045,20.8718
120.045,20.8495
121.045,20.8256
122.045,20.8039
