t (s),V (mV)
0,19.2779
0.968,19.2706
1.935,19.2428
2.936,19.2201
3.936,19.1997
4.936,19.177
5.936,19.154
6.936,19.1322
7.936,19.11
8.936,19.0876
9.936,19.0673
10.936,19.0448
11.936,19.0236
12.936,18.9997
13.936,18.9775
14.936,18.9554
15.936,18.932
16.936,18.913
17.936,18.891
18.936,18.8699
19.936,18.8477
20.936,18.8278
21.936,18.8064
22.936,18.7849
23.936,18.7633
24.936,18.743
25.936,18.7213
26.936,18.6996
27.936,18.6789
28.936,18.6587
29.935,18.6366
30.936,18.6158
31.936,18.5957
32.936,18.5745
33.936,18.5522
34.936,18.5337
35.936,18.5118
36.938,18.4938
37.936,18.471
38.937,18.4536
39.936,18.4322
40.935,18.4122
41.936,18.3933
42.936,18.3735
43.936,18.3541
44.936,18.3326
45.936,18.3123
46.936,18.2931
47.936,18.2728
48.936,18.2525
49.936,18.2336
50.936,18.2128
51.936,18.1955
52.936,18.1738
53.936,18.1536
54.936,18.1361
55.936,18.1145
56.936,18.0938
57.936,18.0747
58.936,18.0548
59.935,18.0339
60.936,18.0152
61.936,17.9964
62.936,17.9782
63.936,17.9579
64.935,17.9387
65.936,17.9189
66.936,17.8995
67.935,17.8802
68.936,17.861
69.936,17.8425
70.936,17.8229
71.936,17.8047
72.936,17.7854
73.936,17.7677
74.936,17.7488
75.936,17.731
76.935,17.7115
77.936,17.6924
78.936,17.6744
79.936,17.6563
80.936,17.6374
81.936,17.6187
82.936,17.599
83.936,17.5818
84.936,17.5639
85.936,17.5457
86.936,17.529
87.936,17.5086
88.936,17.4917
89.936,17.4718
90.936,17.4531
91.936,17.435
92.936,17.4164
93.936,17.3993
94.936,17.3802
95.936,17.362
96.936,17.3424
97.936,17.3254
98.936,17.3069
99.936,17.2887
100.935,17.2698
101.936,17.2533
102.936,17.234
103.936,17.2172
104.936,17.1987
105.936,17.1799
106.936,17.1631
107.936,17.1451
108.936,17.1276
109.936,17.1108
110.936,17.0931
111.936,17.0751
112.936,17.0576
113.936,17.0412
114.937,17.0238
115.936,17.0063
116.936,16.989
117.936,16.9723
118.936,16.9545
119.936,16.9374
120.936,16.9203
121.936,16.9024
122.936,16.8852
123.936,16.8687
124.936,16.8507
125.936,16.8349
126.936,16.8173
127.936,16.8013
128.936,16.7852
129.936,16.7676
130.935,16.7492
131.936,16.7336
132.936,16.7175
133.936,16.6995
134.936,16.6825
135.936,16.6661
136.936,16.6488
137.936,16.6321
138.936,16.6161
139.936,16.5988
140.936,16.5826
141.936,16.5671
142.936,16.5499
143.937,16.5344
144.936,16.516
145.936,16.5
146.936,16.4826
147.936,16.4668
148.936,16.4503
149.936,16.4333
150.936,16.4159
151.936,16.4001
152.936,16.3842
153.936,16.3686
154.936,16.3513
155.936,16.3345
156.937,16.3178
157.936,16.3008
158.936,16.2849
159.936,16.2676
160.936,16.2525
161.936,16.2351
162.936,16.2193
163.936,16.2025
164.936,16.1876
165.936,16.1712
166.936,16.154
167.936,16.1398
168.936,16.1237
169.936,16.1072
170.936,16.0932
171.936,16.0777
172.935,16.0616
173.936,16.0484
174.936,16.0345
175.936,16.0179
176.936,16.0013
177.936,15.9857
178.936,15.971
179.936,15.9549
180.936,15.9398
181.936,15.924
182.936,15.9092
183.936,15.8928
184.936,15.8772
185.936,15.8615
186.937,15.8455
187.936,15.829
188.936,15.8133
189.936,15.7985
190.936,15.7829
191.936,15.7673
192.936,15.7511
193.936,15.7353
194.936,15.7214
195.936,15.7053
196.936,15.6905
197.936,15.6733
198.936,15.6588
199.936,15.6433
200.936,15.6272
201.936,15.6113
202.936,15.5963
203.936,15.5783
204.936,15.5637
205.935,15.5501
206.936,15.5334
207.936,15.5188
208.936,15.501
209.936,15.4864
210.937,15.4691
211.936,15.4543
212.936,15.44
213.936,15.424
214.936,15.4092
215.936,15.3931
216.936,15.3773
217.936,15.3624
218.936,15.3469
219.936,15.3298
220.936,15.3157
221.936,15.3007
222.936,15.2854
223.936,15.2698
224.936,15.2539
225.936,15.2368
226.936,15.224
227.936,15.2074
228.936,15.1938
229.936,15.1808
230.936,15.1659
231.936,15.1485
232.935,15.1357
233.936,15.1207
234.936,15.106
235.936,15.0907
236.936,15.0759
237.936,15.0603
238.936,15.0458
239.936,15.0304
240.936,15.0156
241.936,15.0002
242.936,14.9852
243.936,14.9701
244.936,14.9536
245.936,14.939
246.935,14.925
247.936,14.9089
248.936,14.8952
249.936,14.8797
250.936,14.8639
251.936,14.8492
252.936,14.8346
253.936,14.8189
254.936,14.8052
255.936,14.789
256.936,14.7762
257.937,14.7602
258.936,14.7465
259.936,14.7334
260.936,14.7184
261.936,14.703
262.936,14.6896
263.936,14.6757
264.936,14.6595
265.936,14.6458
266.936,14.6295
267.936,14.6148
268.936,14.5995
269.936,14.5863
270.936,14.5678
271.936,14.5565
272.936,14.5417
273.936,14.5281
274.936,14.5117
275.936,14.4972
276.936,14.4821
277.936,14.4669
278.936,14.4529
279.936,14.4412
280.936,14.4246
281.936,14.41
282.936,14.395
283.936,14.3809
284.936,14.3665
285.936,14.3527
286.936,14.3396
287.937,14.3253
288.936,14.3118
289.936,14.2969
290.936,14.2833
291.936,14.2691
292.936,14.2551
293.936,14.241
294.936,14.2252
295.936,14.2115
296.935,14.199
297.936,14.1847
298.936,14.1697
299.936,14.1558
300.936,14.1416
301.936,14.1271
302.937,14.1133
303.936,14.0987
304.936,14.0849
305.936,14.0713
306.935,14.0568
307.936,14.0423
308.936,14.0297
309.936,14.014
310.936,14.0014
311.936,13.987
312.936,13.9734
313.936,13.9582
314.936,13.9444
315.936,13.9309
316.936,13.9193
317.936,13.9038
318.936,13.8899
319.936,13.8767
320.936,13.8622
321.936,13.8482
322.936,13.8348
323.936,13.8222
324.936,13.808
325.936,13.7949
326.936,13.7828
327.936,13.7689
328.936,13.7543
329.936,13.7426
330.936,13.7319
331.936,13.7182
332.936,13.7039
333.936,13.6939
334.936,13.6798
335.936,13.6655
336.936,13.6536
337.936,13.6396
338.936,13.6248
339.936,13.6132
340.936,13.5991
341.936,13.5863
342.936,13.5734
343.936,13.5593
344.936,13.5457
345.936,13.532
346.936,13.5188
347.936,13.5058
348.936,13.4929
349.936,13.479
350.936,13.4668
351.936,13.4536
352.936,13.4407
353.936,13.4275
354.936,13.4149
355.936,13.4009
356.936,13.3879
357.936,13.3749
358.936,13.36
359.936,13.3495
360.936,13.3367
361.936,13.3223
362.936,13.3085
363.936,13.2936
364.936,13.2808
365.936,13.2664
366.936,13.2532
367.936,13.2399
368.936,13.2258
369.936,13.2132
370.936,13.1996
371.936,13.1869
372.936,13.173
373.937,13.1606
374.936,13.1489
375.936,13.1352
376.936,13.1229
377.936,13.109
378.936,13.0955
379.936,13.0815
380.936,13.0679
381.936,13.0557
382.936,13.0421
383.936,13.0279
384.936,13.0157
385.936,13.0023
386.936,12.9895
