t (s),V (mV)
313.856,15.2262
314.856,15.2164
315.857,15.2054
316.856,15.1948
317.856,15.1862
318.856,15.1742
319.856,15.1631
320.856,15.1528
321.856,15.1415
322.856,15.1315
323.856,15.1196
324.856,15.1096
325.856,15.0991
326.856,15.0887
327.855,15.0781
328.856,15.0674
329.856,15.0547
330.856,15.0444
331.857,15.0339
332.856,15.023
333.856,15.0132
334.856,15.002
335.856,14.9915
336.856,14.9806
337.856,14.968
338.856,14.9583
339.856,14.9457
340.856,14.9346
341.856,14.9254
342.856,14.913
343.856,14.9038
344.856,14.8914
345.856,14.881
346.856,14.8707
347.857,14.8574
348.856,14.8483
349.856,14.8374
350.856,14.8248
351.856,14.8127
352.855,14.803
353.856,14.7912
354.856,14.7798
355.856,14.7684
356.856,14.7571
357.856,14.7456
358.856,14.7357
359.856,14.7245
360.856,14.7126
361.856,14.7023
362.856,14.6923
363.855,14.681
364.856,14.6701
365.856,14.662
366.856,14.6524
367.856,14.6419
368.856,14.6351
369.856,14.6232
370.856,14.6163
371.856,14.6058
372.856,14.5952
373.856,14.5852
374.856,14.5737
375.856,14.5647
376.856,14.5539
377.856,14.544
378.857,14.5339
379.856,14.5229
380.856,14.5115
381.856,14.5017
382.855,14.4906
383.856,14.4809
384.856,14.4707
385.856,14.4613
386.856,14.45
387.856,14.4398
388.856,14.4289
389.856,14.418
390.856,14.407
391.856,14.3967
392.856,14.3852
393.856,14.3747
394.856,14.3626
395.856,14.3527
396.856,14.3427
397.856,14.3318
398.856,14.3214
399.856,14.3122
400.856,14.2979
401.856,14.2908
402.856,14.2772
403.856,14.2665
404.856,14.2558
405.856,14.2465
406.856,14.2336
407.856,14.2235
408.856,14.2127
409.856,14.2037
410.856,14.1926
411.856,14.1821
412.856,14.1723
413.856,14.1621
414.856,14.1519
415.857,14.1418
416.856,14.1321
417.855,14.1226
418.856,14.1128
419.856,14.1027
420.856,14.0923
421.856,14.0818
422.855,14.0719
423.856,14.062
424.856,14.0518
425.856,14.0413
426.856,14.0317
427.856,14.0219
428.856,14.0119
429.856,14.0026
430.856,13.9936
431.856,13.984
432.856,13.9742
433.856,13.9648
434.856,13.9551
435.856,13.9459
436.856,13.9364
437.856,13.9269
438.856,13.9176
439.856,13.9077
440.856,13.8979
441.856,13.8879
442.856,13.8783
443.856,13.8685
444.856,13.8589
445.856,13.849
446.856,13.8402
447.856,13.8303
448.855,13.8206
449.856,13.8105
450.855,13.8009
451.856,13.7912
452.856,13.7798
453.856,13.7703
454.855,13.7602
455.856,13.75
456.856,13.7401
457.856,13.7307
458.856,13.7213
459.856,13.7108
460.856,13.7011
461.856,13.6908
462.856,13.6816
463.855,13.6703
464.856,13.6601
465.856,13.6499
466.856,13.6406
467.856,13.6313
468.856,13.6227
469.856,13.6124
470.855,13.6025
471.856,13.5942
472.856,13.585
473.855,13.5748
474.856,13.5654
475.856,13.5567
476.856,13.5458
477.856,13.536
478.856,13.5268
479.856,13.5167
480.856,13.5055
481.856,13.4964
482.856,13.4874
483.856,13.4782
484.856,13.4681
485.856,13.4588
486.856,13.4483
487.856,13.4379
488.856,13.4292
489.856,13.4198
490.856,13.4098
491.856,13.3991
492.856,13.3895
493.856,13.3799
494.856,13.3699
495.856,13.361
496.856,13.3518
497.856,13.3436
498.856,13.3336
499.856,13.3261
500.856,13.3158
501.856,13.3057
502.856,13.2958
503.856,13.2885
504.856,13.2784
505.856,13.2699
506.856,13.2596
507.856,13.2512
508.856,13.2417
509.856,13.2304
510.856,13.2215
511.856,13.2144
512.856,13.2028
513.856,13.1921
514.856,13.1845
515.856,13.1744
516.856,13.1659
517.856,13.1547
518.856,13.1464
519.856,13.1363
520.856,13.1267
521.856,13.1175
522.856,13.1069
523.856,13.098
524.856,13.0897
525.856,13.08
526.855,13.0692
527.855,13.0616
528.856,13.0521
529.856,13.0448
530.856,13.0361
531.855,13.0259
532.856,13.0177
533.856,13.0085
534.856,12.9992
535.856,12.9895
536.856,12.9807
537.856,12.9713
538.856,12.9617
539.856,12.9523
540.856,12.9428
541.856,12.9337
542.856,12.9242
543.856,12.9141
544.856,12.9049
545.856,12.8953
546.856,12.8854
547.856,12.8768
548.855,12.8677
549.856,12.8581
550.856,12.8494
551.856,12.8389
552.856,12.8306
553.856,12.8221
554.855,12.8142
555.856,12.8032
556.856,12.7965
557.856,12.7866
558.856,12.7782
559.856,12.7691
560.856,12.7586
561.856,12.7493
562.856,12.7395
563.856,12.7285
564.856,12.7195
565.856,12.7089
566.856,12.6998
567.856,12.6919
568.856,12.6811
569.855,12.6716
570.856,12.662
571.856,12.6515
572.856,12.6419
573.856,12.6332
574.856,12.6241
575.856,12.6137
576.856,12.6049
577.856,12.596
578.856,12.5863
579.856,12.5769
580.856,12.5678
581.856,12.5577
582.857,12.5486
583.856,12.5397
584.856,12.5309
585.856,12.5218
586.856,12.513
587.856,12.5035
588.856,12.4949
589.863,12.4965
590.856,12.4774
591.857,12.4698
592.856,12.461
593.856,12.4523
594.857,12.4454
595.856,12.4367
596.856,12.4286
597.856,12.4195
598.856,12.4103
599.857,12.4054
600.856,12.3965
601.856,12.3887
602.856,12.3798
603.856,12.3714
604.856,12.3615
605.856,12.3535
606.856,12.3447
607.856,12.3364
608.856,12.3275
609.856,12.3181
610.856,12.3102
611.856,12.3025
612.856,12.2943
613.856,12.2853
614.856,12.2748
615.856,12.2663
616.856,12.2576
617.856,12.2468
618.855,12.2382
619.856,12.2282
620.856,12.2184
621.856,12.2101
622.856,12.2006
623.856,12.1919
624.857,12.1821
625.856,12.1734
626.856,12.1648
627.856,12.1562
628.856,12.1468
629.855,12.1375
630.856,12.1283
631.856,12.1194
632.856,12.1103
633.856,12.1004
634.856,12.0924
635.856,12.0829
636.856,12.0744
637.856,12.0663
638.856,12.0577
639.856,12.049
640.856,12.04
641.856,12.0323
642.856,12.0222
643.856,12.0131
644.856,12.0039
645.856,11.9951
646.856,11.9854
647.856,11.977
648.856,11.9695
649.856,11.9617
650.856,11.9531
651.856,11.9447
652.856,11.9365
653.856,11.9292
654.855,11.9209
655.857,11.9121
656.856,11.9036
657.856,11.8955
658.856,11.8871
659.856,11.8787
660.856,11.8686
661.856,11.8614
662.856,11.8534
663.856,11.845
664.856,11.8354
665.856,11.8275
666.856,11.819
667.856,11.8099
668.856,11.8027
669.856,11.7918
670.856,11.7833
671.856,11.7761
672.856,11.7666
